,molecule_chembl_id,bioactivity_class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
3023,CHEMBL3263733,active,COc1ccc2c(CCNC(=O)c3ccc(CN(C)Cc4cccc(Cl)c4)cc3)c[nH]c2c1,461.9930000000001,5.434400000000005,2.0,3.0,5.6777807052660805
3024,CHEMBL3263734,active,COc1ccccc1CN(C)Cc1ccc(C(=O)NCCc2c[nH]c3ccccc23)cc1,427.5480000000001,4.781000000000004,2.0,3.0,5.327902142064283
3025,CHEMBL3263735,active,COc1ccc2[nH]cc(CCNC(=O)c3ccc(CN(C)Cc4ccccc4OC)cc3)c2c1,457.5740000000002,4.7896000000000045,2.0,4.0,5.267606240177032
3026,CHEMBL3263736,active,COc1cccc(CN(C)Cc2ccc(C(=O)NCCc3c[nH]c4ccccc34)cc2)c1,427.5480000000002,4.781000000000004,2.0,3.0,5.42021640338319
3027,CHEMBL3263737,active,COc1cccc(CN(C)Cc2ccc(C(=O)NCCc3c[nH]c4ccc(OC)cc34)cc2)c1,457.57400000000024,4.789600000000004,2.0,4.0,5.167491087293763
3028,CHEMBL3289924,active,CCOC(OCC)c1ccc(/C=C2\CCC/C(=C\c3ccc(C(OCC)OCC)cc3)C2=O)cc1,478.62900000000025,7.049800000000008,0.0,5.0,4.905528871358356
3029,CHEMBL3289925,active,CCOC(OCC)c1ccc(/C=C2\COC/C(=C\c3ccc(C(OCC)OCC)cc3)C2=O)cc1,480.6010000000003,5.896100000000006,0.0,6.0,4.384892012556806
3030,CHEMBL3289926,active,CCOC(OCC)c1ccc(/C=C2\CNC/C(=C\c3ccc(C(OCC)OCC)cc3)C2=O)cc1,479.6170000000003,5.469100000000005,1.0,6.0,6.036212172654444
3031,CHEMBL3289927,active,CCOC(OCC)c1ccc(/C=C2\CN(C)C/C(=C\c3ccc(C(OCC)OCC)cc3)C2=O)cc1,493.6440000000003,5.811300000000006,0.0,6.0,7.376750709602099
3032,CHEMBL3289928,active,CCOC(OCC)c1ccc(/C=C2\CN(Cc3ccccc3)C/C(=C\c3ccc(C(OCC)OCC)cc3)C2=O)cc1,569.7420000000003,7.381700000000009,0.0,6.0,4.560036064079095
3033,CHEMBL3289929,intermediate,CCOC(OCC)c1ccc(/C=C/C(=O)/C=C/c2ccc(C(OCC)OCC)cc2)cc1,438.56400000000025,6.125500000000007,0.0,5.0,4.256960845195067
3034,CHEMBL3289930,intermediate,CCOC(OCC)c1ccc(/C=C2\CC/C(=C\c3ccc(C(OCC)OCC)cc3)C2=O)cc1,464.60200000000026,6.659700000000007,0.0,5.0,4.115544503929512
3035,CHEMBL3289931,inactive,CCOC(OCC)c1ccc(/C=C2\Cc3ccccc3C2=O)cc1,322.40400000000005,4.580600000000004,0.0,3.0,4.0
3036,CHEMBL3289932,active,CCOC(OCC)c1ccc(/C=C2\CCc3ccccc3C2=O)cc1,336.43100000000004,4.970700000000004,0.0,3.0,4.0
3037,CHEMBL3289933,active,CCOC(OCC)c1ccc(/C=C/C(=O)C2CCc3ccccc3C2=O)cc1,378.4680000000001,4.7858000000000045,0.0,4.0,4.113904267562252
3038,CHEMBL3289934,active,CN(C)c1ccc(/C=C2/CCC/C(=C\c3ccc(N(C)C)cc3[N+](=O)[O-])C2=O)c([N+](=O)[O-])c1,450.4950000000002,4.855000000000005,0.0,7.0,4.3439976793170425
3039,CHEMBL3289935,intermediate,CN(C)c1ccc(/C=C2/COC/C(=C\c3ccc(N(C)C)cc3[N+](=O)[O-])C2=O)c([N+](=O)[O-])c1,452.4670000000002,3.7013000000000025,0.0,8.0,5.812479279163537
3040,CHEMBL3289936,active,CN(C)c1ccc(/C=C2/CNC/C(=C\c3ccc(N(C)C)cc3[N+](=O)[O-])C2=O)c([N+](=O)[O-])c1,451.48300000000023,3.274300000000002,1.0,8.0,6.055517327849832
3041,CHEMBL3289937,active,CN1C/C(=C/c2ccc(N(C)C)cc2[N+](=O)[O-])C(=O)/C(=C/c2ccc(N(C)C)cc2[N+](=O)[O-])C1,465.5100000000002,3.616500000000003,0.0,8.0,7.2441251443275085
3042,CHEMBL3289938,active,CN(C)c1ccc(/C=C2/CN(Cc3ccccc3)C/C(=C\c3ccc(N(C)C)cc3[N+](=O)[O-])C2=O)c([N+](=O)[O-])c1,541.6080000000003,5.186900000000005,0.0,8.0,4.0
3043,CHEMBL3289939,active,CN(C)c1ccc(/C=C/C(=O)/C=C/c2ccc(N(C)C)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,410.4300000000001,3.9307000000000025,0.0,7.0,4.0
3044,CHEMBL3289940,active,CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3[N+](=O)[O-])C2=O)c([N+](=O)[O-])c1,436.4680000000002,4.4649000000000045,0.0,7.0,4.0
3045,CHEMBL3289941,active,CN(C)c1ccc(/C=C2\Cc3ccccc3C2=O)c([N+](=O)[O-])c1,308.337,3.4832000000000027,0.0,4.0,4.0
3046,CHEMBL3289942,active,CN(C)c1ccc(/C=C2\CCc3ccccc3C2=O)c([N+](=O)[O-])c1,322.36400000000003,3.873300000000003,0.0,4.0,4.100672050122346
3047,CHEMBL3289943,active,CN(C)c1ccc(/C=C/C(=O)C2CCc3ccccc3C2=O)cc1,319.404,3.7802000000000024,0.0,3.0,4.4040630937308265
3048,CHEMBL3290187,active,O=C1/C(=C\c2ccc(N3CCCC3)cc2)CCC/C1=C\c1ccc(N2CCCC2)cc1,412.57700000000017,6.107000000000007,0.0,3.0,4.0
3049,CHEMBL3290188,intermediate,O=C1/C(=C\c2ccc(N3CCCC3)cc2)COC/C1=C\c1ccc(N2CCCC2)cc1,414.54900000000015,4.953300000000005,0.0,4.0,4.0
3050,CHEMBL3290189,active,O=C1/C(=C\c2ccc(N3CCCC3)cc2)CNC/C1=C\c1ccc(N2CCCC2)cc1,413.56500000000017,4.5263000000000035,1.0,4.0,5.021363051615525
3051,CHEMBL3290190,active,CN1C/C(=C/c2ccc(N3CCCC3)cc2)C(=O)/C(=C/c2ccc(N3CCCC3)cc2)C1,427.5920000000002,4.868500000000005,0.0,4.0,5.555955204081924
3052,CHEMBL3290191,active,O=C1/C(=C\c2ccc(N3CCCC3)cc2)CN(Cc2ccccc2)C/C1=C\c1ccc(N2CCCC2)cc1,503.6900000000003,6.438900000000007,0.0,4.0,4.0
3053,CHEMBL3290192,active,O=C(/C=C/c1ccc(N2CCCC2)cc1)/C=C/c1ccc(N2CCCC2)cc1,372.51200000000017,5.182700000000005,0.0,3.0,4.0
3054,CHEMBL3290193,active,O=C1/C(=C/c2ccc(N3CCCC3)cc2)CC/C1=C\c1ccc(N2CCCC2)cc1,398.5500000000002,5.716900000000006,0.0,3.0,4.17763574755845
3055,CHEMBL3290194,inactive,O=C1/C(=C/c2ccc(N3CCCC3)cc2)Cc2ccccc21,289.378,4.109200000000003,0.0,2.0,4.0
3056,CHEMBL3290195,intermediate,O=C1/C(=C/c2ccc(N3CCCC3)cc2)CCc2ccccc21,303.405,4.499300000000004,0.0,2.0,4.0
3057,CHEMBL3290196,intermediate,O=C(/C=C/c1ccc(N2CCCC2)cc1)C1CCc2ccccc2C1=O,345.442,4.314400000000004,0.0,3.0,4.0
3058,CHEMBL40275,inactive,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,270.23999999999995,1.3654999999999993,3.0,5.0,7.735890843694191
3059,CHEMBL385181,inactive,NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1,288.307,-0.1995999999999986,2.0,4.0,2.8664610916297826
3060,CHEMBL32778,inactive,O/N=C/c1cc[n+](CCC[n+]2ccc(/C=N/O)cc2)cc1,286.33500000000004,0.9680999999999997,2.0,4.0,2.5900668766687054
3061,CHEMBL3360486,inactive,COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCCn1ccnc1/C=N/O)CC2,448.5670000000003,4.526400000000003,1.0,7.0,3.0315170514460648
3062,CHEMBL3360487,inactive,COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCCCn1ccnc1/C=N/O)CC2,462.59400000000034,4.916500000000004,1.0,7.0,3.0604807473813813
3063,CHEMBL3353039,inactive,CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(NCCCCCCNc4c5c(nc6cc(Cl)ccc46)C[C@@H]4C=C(C)C[C@H]5C4)c3[C@@H](C1)C2,651.7260000000001,11.166199999999987,2.0,4.0,6.716698771296451
3064,CHEMBL3353040,inactive,CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNc4c5c(nc6cc(Cl)ccc46)C[C@@H]4C=C(C)C[C@H]5C4)c3[C@@H](C1)C2,679.78,11.946399999999983,2.0,4.0,7.139661993429006
3065,CHEMBL3353041,inactive,CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCCNc4c5c(nc6cc(Cl)ccc46)C[C@@H]4C=C(C)C[C@H]5C4)c3[C@@H](C1)C2,707.8340000000001,12.726599999999978,2.0,4.0,7.756961951313706
3066,CHEMBL3353042,inactive,CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCCCCNc4c5c(nc6cc(Cl)ccc46)C[C@@H]4C=C(C)C[C@H]5C4)c3[C@@H](C1)C2,735.8880000000001,13.506799999999972,2.0,4.0,6.3655227298392685
